Type,Num,Source ID,Timestamp (sec) start,Timestamp (sec) end,Total animation time,Timestamp (min:sec)
rage,1,10,0,16.5,16.5,00:00 - 00:17
win,1,1,203,209,6,03:23 - 03:29
win,2,1,324,329,5,05:24 - 05:29
win,3,2,708.5,715.5,7,11:48 - 11:56
win,4,2,829,833,4,13:49 - 13:53
loss,1,2,1098,1101,3,18:18 - 18:21
rage,2,3,12,21,9,00:12 - 00:21
rage,3,4,170,180,10,02:50 - 03:00
rage,4,4,297,305,8,04:57 - 05:05
rage,5,4,136,144,8,02:16 - 02:24
rage ,6,11,13,32,19,00:13 - 00:32
beg,1,12,116,123.5,7.5,01:56 - 02:03
beg,2,12,8,26.5,18.5,00:08 - 00:26
loss,2,5,551,556,5,09:11 - 09:16
loss,3,6,87,93,6,01:27 - 01:33
bigwin,1,6,937,947.5,10.5,15:37 - 15:47
win,5,6,1246,1251,5,20:46 - 20:51
beg,3,6,1533,1538.5,5.5,25:33 - 25:38
beg,4,7,486,494.5,8.5,08:06 - 08:14
win,6,8,251,255,4,04:11 - 04:15
loss,4,8,416,420.5,4.5,06:56 - 07:00
loss,5,9,70,76,6,01:10 - 01:16
win,7,9,33,37,4,00:33 - 00:37
rage,7,13,556,569,13,09:16 - 09:29
beg,5,13,605,618,13,10:05 - 10:18
win,8,14,393,400,7,06:33 - 06:40
bigwin,2,14,1572,1584,12,26:12 - 26:24
rage,8,14,1669,1676,7,27:49 - 27:56
bigwin,3,14,449,462,13,07:29 - 07:42
